trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-175.5297232510557,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-138.3479877742284,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-108.44980316440093,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-209.0825806648926,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-107.06872918575182,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-49.63662097799426,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-152.71240778860582,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,3,-91.38084758019333,"{0: 20, 1: 1, 2: 3, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-59.83351166174099,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,15,1.7385777268796545,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-35.270231319352376,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-185.35351019674027,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-57.65213225506257,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
