trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.6552509903714,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-255.07060658545785,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.73503047643811,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-253.56818267134403,"{0: 5, 1: 2, 2: 7, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.38688994660734,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.1746477597669,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.50685306181309,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-144.18616354794023,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.01726053740602,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.087128769988624,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,8,-124.36486395236018,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.36218917925478,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.14537577148417,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-241.500229542064,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-261.4194458601112,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.69652317336468,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.25845644454324,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.82094973277401,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.45981098964376,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.93496055253568,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.46071146513174,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-241.64256418943637,"{0: 11, 1: 3, 2: 4, 3: 4, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.77444386280861,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.59508492074762,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.89616693490305,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.17499718765868,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.92189628537594,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.91312536801095,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.77691945670534,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.31283456619056,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
